CREDIT:, North London Waste Authority, https://www.nlwa.gov.uk/our-office, By: Abdul
Computers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/computers,computers,"If you have a computer that is in good condition, it could be sold or donated for reuse or to charity. If it is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service. Or for information about how to dispose of larger electrical, including a free collection from Clearabee visit our page about recycling electrical items.Make sure any data is erased from the device before it is recycled, sold or donated."
Cooking oil,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cooking-oil,cooking oil,"Liquid oil cannot go into your food waste bin (if your council offers a food waste service). However, it can be taken to any of north London's reuse and recycling centres (RRC). Once cooled, simply collect it in a plastic or glass bottle. The oil will be converted into high quality bio-fuel for the distribution and power-generation industries. If you cannot access an RRC, cooking oil can be put in a sealed container and disposed of your general waste bin. Alternatively, old cooking oil can also be composted at home but just make sure it's mixed well with paper or cardboard first."
Corks,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/corks,corks,Natural cork cannot go into the food or garden waste because they do not always break down properly if going to anaerobic digestion plants. Please put them in your general waste bin.
Corrugated cardboard,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/corrugated-cardboard,corrugated cardbord,"This can be recycled at home. Please just make sure it has no dirt, foodstuffs, grease or paint on it. It is also helpful if you remove excess sticky tape (a small amount is okay)."
Cotton wool,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cotton-wool,cotton wool,Cotton wool is made from raw cotton and cannot be recycled (or flushed down the toilet). Please put it in the general waste.
Crisp packets,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/crisp-packets,crisp packets,"Crisp packets are made of 'metallised plastic film'. We do not have the technology to recycle them in north London. Some manufacturers such as Walkers offer a free recycling scheme. TerraCycle also has a number of drop-off points where crisp packets and biscuit wrappers can be recycled. Alternatively, please put them in your general waste."
Crockery,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/crockery,"crockery, Earthenware","If they're in good condition, ceramics/crockery/earthenware could be sold online, taken to a charity shop or given away on Freecycle or Freegle. If broken or not in good condition, they can be taken to one of north London's reuse and recycling centres (RRCs) where they can go in the 'hardcore and rubble' skip."
Cupboards,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cupboards,cupboards,"If furniture is in good condition, it could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Curtains,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/curtains,curtains,"Fabric in good condition could be sold online, given away to or donated to charity. Alternatively, take them to a reuse and recycling centre (RRC), use the Recycle Now search function to find a textiles recycling bank near you that will accept them."
Cut flowers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cut-flowers,cut flowers,"If your local council provides a garden waste collection service where you live, these can be added to your garden waste bin. Please make sure you do not add plastic bags, soil, turf, stones, rubble, plant pots, painted/treated wood, animal faeces, animal litter, food waste, logs over 30cm in diameter or 2m in length, or any invasive species such as Japanese Knotweed."
Cutlery,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/cutlery,"knives, knife, fork, forks","Reusable cutlery that is in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) where it can be recycled.Disposable (single-use) plastic cutlery cannot be recycled and should go into your general waste bin."
Dairy products,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/dairy-products,dairy products,"Solid dairy products can go in the food waste bin but nothing liquid, like milk."
Diesel,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/diesel,diesel,A small quantity of diesel can be put in the oil container at a north London reuse and recycling centre (RRC). If you need to dispose of more than 5 litres you will need to use the free City of London Hazardous Waste Service.
Dishwashers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/dishwashers,dishwashers,"If large appliances are in good condition, they could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, there are lots of ways to recycle it, including a free collection through Clearabee. For more information visit /reducereuserecycle/recycle/electrical-electronic-items"">our page about recycling electrical items. You can also take to your local https://www.nlwa.gov.uk/places-to-recycle"">reuse and recycling centre."
Disposable coffee cups,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/disposable-coffee-cups,"paper coffee cups, coffee cup","The inner lining of coffee cups is made from a mixture of paper and plastic and cannot be recycled at home. There are some coffee cup recycling schemes available in some shops including Costa and Starbucks but if you are not able to take your coffee cup to one of these locations, it should go in the general waste bin. Investing in a reusable coffee cup is a great way to reduce waste and save money (lots of coffee sellers offer discounts to customers with a reusable cup)."
Disposable Face Masks,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/disposable-face-masks,"PPE, disposable mask, disposable masks, plastic facemask, plastic facemasks, single use mask/s, disposable facemasks, single use facemask, single use facemasks, plastic mask, plastic masks","Disposable face masks are usually made of different materials which makes them difficult and costly to separate and recycle. Please never put the disposable facemasks mixed with your recycling, since it poses a risk for the recycling crews who have to remove them manually from the conveyor belt. Please make sure to put them in your general waste bin."
Disposable Gloves,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/disposable-gloves,"PPE, disposable gloves, single use gloves, plastic gloves","Plastic gloves should go in the general waste bin. This is partly because they are ‘personal waste’ so could pose a health risk to others, but also because they are made from a thin elasticated plastic which is not easy or cost-effective for us to recycle. TerraCycle has a number of drop-off points where disposable gloves can be recycled."
Disposable plastic cups,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/disposable-plastic-cups,Disposable plastic cups,"Disposable plastic cups when made from only one type of material can be recycled. Please empty, rinse them and remember to remove the plastic straw since these are not recyclable."
Disposable plastic cutlery,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/disposable-plastic-cutlery,Disposable plastic cutlery,"The end market for these types of products has never been very reliable, so the Materials Recovery Facilities which sort the recycling into different individual materials don’t want single-use plastic cutlery and plates because they are unlikely to be able to sell them so that they can be made into new products. Plastic plates and cutlery should be disposed of in your general waste bin."
DIY equipment,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/diy-equipment,"DIY equipment, DIY tools","If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the items is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service. For more information visit our page about recycling electrical items."
DIY waste,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/diy-waste,DIY waste,"Small amounts of DIY waste and building materials can be taken to one of north London's reuse and recycling centres (RRC) where you can recycle hardcore material such as rubble, concrete and soil. Each north London household can take up to six standard rubble sacks of soil and six standard rubble sacks of rubble to an RRC each month. A standard rubble sack is 20” by 30” sack or equivalent. Commercial building waste cannot be taken to an RRC. For larger projects we advise hiring a skip, most skip providers will usually sort and recycle materials for you. You can check whether a company is legally allowed to carry waste on the Public Register of Waste Carriers. Alternatively, you could make use of your local council's bulky collection service."
Doors,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/doors,doors,"If you have a door that is in good condition, it could be sold or donated for reuse or to charity. If the item is not reusable, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Drink bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/drink-bottles,drink bottles,"These can be recycled at home. Empty and rinse well, remove cardboard packaging but labels can be left on."
Drinking glasses,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/drinking-glasses,drinking glasses,"Glass cookware, drinking glasses or vases cannot be recycled at home. This is because they have been specially treated in the manufacturing process to withstand high temperatures. If they get mixed up with glass bottles and jars, they can cause imperfections in the new glass, or even cause explosions in the smelting process. If they're in good condition, drinking glasses could be sold online, taken to a charity shop or given away on Freecycle or Freegle. If broken or not in good condition, they can be taken to one of north London's reuse and recycling centres (RRC)."
Drinks cans,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/drinks-cans,"drinks cans, drink cans, drink can",These can be recycled at home. Please just give them a quick rinse and do not crush or flatten.
Duvets,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/duvets,duvets,Duvets and pillows unfortunately cannot be recycled and would need to be taken to a reuse and recycling centre (RRC).
DVD players,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/dvd-players,dvd players,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
DVDs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/dvds,dvds,"If they're in good condition, CDs could be sold online, taken to a charity shop or given away on Freecycle or Freegle;or commercial websites. If you cannot find any way to reuse or recycle them please dispose of them in the general rubbish bin."
Egg cartons,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/egg-cartons,egg cartons,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Egg shells,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/egg-shells,"egg shells, nut shells","If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. If you do not have a food waste service, eggshells would need to go in your general waste bin."
Eggs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/eggs,eggs,"If your local council provides a food waste collection service where you live, cooked eggs can be disposed of in your food bin. If you don't have a food waste caddy, please put them in your general waste bin."
Electronic games,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/electronic-games,electronic games,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the items is not reusable, it can be taken to an on-street electricals collection bank or to one of north London's reuse and recycling centres (RRC) to be recycled. For more information visit our page about recycling electrical items."
Energy saving lightbulbs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/energy-saving-lightbulbs,energy saving lightbulbs,"Older style 'incandescent' bulbs aren't recyclable and should be thrown away in your rubbish bin. Energy efficient light bulbs are a type of fluorescent lamp and can be recycled at one of north London's reuse and recycling centres (RRCs), or find other recycling points."
Engine oil,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/engine-oil,engine oil,Used engine oil discarded down storm drains can cause considerable environmental damage if it leaches into watercourses and/or groundwater. Take it to one of north London's reuse and recycling centres (RRC) where it can be recycled.
Engine oil container,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/engine-oil-container,engine oil container,"Empty metal containers can be taken to one of north London's reuse and recycling centres where they can be recycled. However if the container is made from plastic, it cannot be recycled and should be placed in your general waste."
Envelopes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/envelopes,envelopes,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Erasers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/erasers,erasers,We can't recycle erasers so please put them in your general waste.
Expanded polystyrene,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/expanded-polystyrene,expanded polystyrene,"Polystyrene is very cheap to produce but recycling it would require a lot of energy, meaning that it is not worth it. Put it in your general waste."
Fabrics,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/fabrics,"fabrics, textiles, fabric scraps,","Fabric in good condition could be sold online, given away to or donated to charity. Alternatively, it can be deposited in one of north London's on-street collection banks or taken to a reuse and recycling centre (RRC) where it will be sorted and recycled."
Face cream jars,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/face-cream-jars,face cream jars,"Glass face cream jars (of all colours) can be recycled at home. Please just ensure that jars are empty. Plastic face cream jars are made out of multiple materials or hard plastic such PVC which can not be recycled, so they should be placed in the general waste bin."
Fat,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/fat,"fat, cooking oil","Small quantities of hard fat can be added to your household food bin, if you have a collection. Alternatively, liquid fat can be taken to one of north London's reuse and recycling centres (RRC) . Once cooled, simply collect it in a plastic or glass bottle, and check which RRC to go to (they do not all accept fat). Once collected, the oil will be converted into high quality bio-fuel for the distribution and power-generation industries. Old cooking oil can also be composted at home but just make sure it's mixed well with paper or cardboard first."
Film lids,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/film-lids,film lids,Thin plastic wrapping like this is made from low-quality plastic which could be contaminated with food so it is not recycled. Please put it in your general waste.
Fire alarms,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/fire-alarms,fire alarms,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the items is not reusable, it can be taken to an on-street electricals collection bank or to one of north London's reuse and recycling centres (RRC) to be recycled. For more information visit our page about recycling electrical items."
Fire extinguishers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/fire-extinguishers,fire extinguishers,Fire extinguishers should be taken to a reuse and recycling centre (RRC) where they can be disposed of.
Fish bones,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/fish-bones,fish bones,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste service, the bones would need to go in your general waste bin."
Fluorescent tubes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/fluorescent-tubes,Fluorescent tubes,Fluorescent tubes can be recycled at one of north London's reuse and recycling centres (RRCs).
Flyers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/flyers,"flyers, junk mail","These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Foam chips,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/foam-chips,foam chips,"Polystyrene is very cheap to produce but recycling it would require a lot of energy, meaning that it is not worth it. Place it in your general waste."
Foil blister packs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/foil-blister-packs,foil blister packs,"Blister packs are made from plastic and aluminium, stuck together. They are not currently recyclable so should go in your general waste."
Foil trays,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/foil-trays,foil trays,Foil can be recycled as long as it does not have any food residue or grease on it.
Food,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/food,mouldy food,"if your local council provides a food waste collection service where you live, this can be added to your food waste bin. Find out more about food waste collection services by visiting the food waste recycling information page.Items that can be recycled All uneaten and leftover food and plate scrapings Tea bags and coffee grounds Out of date or mouldy food, removed from packaging Raw and cooked meat, including bones and chicken carcasses Raw and cooked fish, including bones Dairy products such as cheese, but nothing liquid, like milk Eggs and egg shells Rice, pasta, beans and noodles Baked goods such as bread, biscuits, cakes and pastries Fruit and vegetables, including raw and cooked vegetables, peelings, skins and fruit stones Pet food Items that cannot be recycled Non-food products, including nappies (even if biodegradable) Packaging of any kind Any material that is not food waste, including paper such as tissue paper, newspaper and card Liquids such as milk - these may leak, causing spillages when transporting the food waste Oil and liquid fat Plastic bags or film Garden waste, including wood and cut flowers"
Food bags,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/food-bags,"plastic wrapping, salad bag, salad bags, potato bag, potato bags","Plastic bags which hold things like bread, potatoes or salad cannot be recycled. This is partly because they are made from low-quality plastic but also because they might be dirty with leftover food. Please put them in your general waste."
Food blenders,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/food-blenders,food blenders,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
Food mixers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/food-mixers,food mixers,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. Or for information about how to dispose of larger electrical, including a free collection from Clearabee, visit our page about recycling electrical items."
Food pouches,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/food-pouches,"baby food pouches, pet food pouches, plastic food pouches","Laminated food pouches are made from a combination of aluminium and plastic. We do not have the technology to recycle them in north London. Some laminated pouches can be recycled through TerraCycle: https://www.terracycle.com/en-GB/brigades/ellacycle. Alternatively, please put them in your general waste."
Food tins and drinks cans,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/food-tins-and-drinks-cans,food and drinks cans,"Food tins and drink cans can be recycled at home. Please just give them a quick rinse to make sure there is no food residue. You can leave the label on but do not crush or flatten. Items that can be recycledDrinks cans Food tins Empty aerosols (please remove plastic caps) Jar lids Clean foil and foil trays Items that cannot be recycled  General kitchenware e.g. cutlery, pots and pans Crisp and sweet packets/wrappers (some manufacturers, such as Walkers, offer a free recycling scheme. TerraCycle has a number of drop-off points where crisp packets and biscuit wrappers can be recycled). Laminated plastic food/drink pouches e.g. baby food, cat food, or coffee pouches (but some of these can be recycled through TerraCycle) Metal containers for chemicals e.g. white spirits, paints, or engine oils (but empty paint paint containers can be recycled at your local reuse and recycling centre) Any other metal items e.g. kettles, irons, pipes, white goods (visit our electrical and electronic items page to find out how to recycle electrical items. Metal pipes and wire coat hangers can be recycled at your local reuse and recycling centre)"
Food waste,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/food-waste,Food waste,"If your local council provides a food waste collection service where you live, this can be added to your food waste bin. Find out more about food waste collection services by visiting the food waste recycling information page. Items that can be recycled . All uneaten and leftover food and plate scrapings Tea bags and coffee grounds Out of date or mouldy food, removed from packaging Raw and cooked meat, including bones and chicken carcasses Raw and cooked fish, including bones Dairy products such as cheese, but nothing liquid, like milk Eggs and egg shells Rice, pasta, beans and noodles Baked goods such as bread, biscuits, cakes and pastries Fruit and vegetables, including raw and cooked vegetables, peelings, skins and fruit stones Pet food Items that cannot be recycled Non-food products, including nappies (even if biodegradable) Packaging of any kind Any material that is not food waste, including paper such as tissue paper, newspaper and card Liquids such as milk - these may leak, causing spillages when transporting the food waste Oil and liquid fat Plastic bags or film Garden waste, including wood and cut flowers"
Food waste from the garden,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/food-waste-garden,food waste from garden,"If you have surplus food from your garden, why not see if you can give it away to friends and neighbours. If the food is inedible, you could compost it yourself or, if your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. Please note that food waste from the garden should not be disposed of in your garden waste bin."
Foreign currency,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/foreign-currency,foreign currency,Foreign coins and out of date British currency can be taken to your local charity shop. Many banks will collect them too - ask your local branch for details.
Fridges and freezers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/fridges-and-freezers,fridges and freezers,"If large electrical appliances are in good condition, they could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, there are lots of ways to recycle it, some boroughs offer a free collection through Clearabee - visit our page about recycling electrical items(opens in a new window) check with your council."
Fruit punnets,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/fruit-punnets,fruit punnets,"These can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside. Remove film lids, absorbent pads and any cardboard packaging but labels can be left on."
Fruits,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/fruits,fruits,"If your local council provides a food waste collection service where you live, you can dispose of food waste in your food bin. All types of food can go in the bin but please do not add: any kind of plastic or packaging, liquids including liquid fat/oil, and garden waste including wood or cut flowers. If you do not have a food waste services, food would have to go in your general waste bin - or if you have space, subsidised home composters or wormeries can be purchased from your local council, enabling you to dispose of organic waste like fruit and vegetable peel."
Frying pans,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/frying-pans,"frying pans, pans, Teflon","Frying pans that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) where it can be recycled. Please do not put in your recycling bin since it can damage the equipment or injure the staff."
Furniture,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/furniture,furniture,"If furniture is in good condition, it could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. Please note that any furniture containing upholstery needs to have a fire label on it, or it cannot be reused (see Reuse Network website page) If the item is not reusable, you could take it to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service."
Garden chemicals,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/garden-chemicals,garden chemicals,This is classed as 'hazardous' waste so should be disposed of carefully. You will need to use the free City of London Hazardous Waste Service.
Garden tools,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/garden-tools,garden tools,"You might also be able to sell or give tools away online. However, if you have broken tools, these can be taken to a reuse and recycling centre (RRC) where the metal can be recycled."
Garden Waste,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/garden-waste,garden waste,"If your local council provides a garden waste collection service where you live, this can be added to your garden waste bin. Find out more about garden waste collection services by visiting the garden waste recycling information page. You can also take garden waste to your local reuse and recycling centre.  Items that can be recycled Leaves and flowers Grass and weeds Tree bark and pruned branches Clippings and twigs Logs up to 30cm (12 inches) in diameter or 2m (79 inches) in length Cut flowers and household plants  Items that cannot be recycledInvasive species such as Japanese Knotweed. For further guidance, please visit www.gov.uk/guidance/prevent-the-spread-of-harmful-invasive-and-non-native-plants Plastic bags and black sacks Compostable packaging Any painted or treated wood Soil and turf Stones, rubble, plant pots and bricks Animal/pet waste, including faeces, bedding and litter Logs exceeding 30cm (12 inches) in diameter or 2m (79 inches) in length Food waste Any other non-garden waste, including paper, card, textiles, plastics, metals and nappies (even if biodegradable)"
Gas bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/gas-bottles,gas bottles,These should be returned to the issuing company. Their address is usually shown on the label on the cylinder.
General waste,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/general-waste,"domestic waste, general waste, black bin, rubbish",Your local council is responsible for the collection of your domestic waste. Contact your council to find out what arrangements are in place at your address and what day your rubbish is collected.
Gift wrap,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/gift-wrap,"gift wrap, wrapping paper,","As long as it is not shiny and has no glitter on it, gift paper can be recycled. Shiny/glittery paper should go in the general waste bin. If you are unsure, do the 'scrunch test': scrunch the paper in your hand and if it remains scrunched, it's okay to recycle (but if it bounces back, put it in the general waste bin)."
Glass cookware,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/glass-cookware,"glass cookware, Pyrex,","These types of glass products cannot be accepted for recycling because the type of glass used in microwave plates, pyrex and plate glass melts at a different temperature from the glass used for bottles and jars. This means that if the plate, pyrex or microwave glass is mixed with bottle and jar glass it causes imperfections in the end product. If plate glass or pyrex enters the glass recycling process it can result in new containers being rejected. It is therefore not something that either the smelting plant or the manufacturers want and it should therefore not be included in your recycling."
Glasses (spectacles),https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/glasses-spectacles,glass spectacles,Some opticians and charity shops will accept old glasses for repair and shipment to developing countries.
Hair straighteners,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/hair-straighteners,hair straighteners,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London. For more information visit our page about recycling electrical items."
Hairdryers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/hairdryers,hairdryers,"Small electrical items that are in good condition could be sold or donated for reuse or to charity. If the item is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or if it is smaller than 520mm x 510mm you can place it one of the small Waste Electrical and Electronic (WEEE) banks around north London."
Hand Sanitiser Bottle,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/hand-sanitiser-bottle,"antibacterial gel bottle, handgel bottle, handsan bottle, hand sanitiser","These can be recycled at home. Empty and rinse well, labels can be left on."
Hard Plastic,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/hard-plastic,"plastic toys, hard plastics","Hard plastic items that are in good condition could be sold or donated for reuse or to charity. We cannot currently recycle hard plastic in north London so if the item is not reusable, it can be disposed of in your general waste bin."
Hardcore and rubble,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/hardcore-and-rubble,"hardcore and rubble, hardcore, rubble","Hardcore can be taken to one of north London's reuse and recycling centres (RRC) where it can be recycled. Each north London household can take up to six standard rubble sacks of soil/rubble to an RRC each month. This includes concrete, brick, stones, pebbles, soil, sand and gravel. A standard rubble sack is 51cm by 76cm (20 inches by 30 inches) or equivalent. If you have a large quantity of hardcore material, consider hiring a skip."
Hazardous waste,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/hazardous-waste,hazardous waste,"Depending on what type of hazardous waste you have, you may be able to take it to a north London reuse and recycling centre, or use the free City of London Hazardous Waste Service. Use our A-Z waste items page to search by the type of hazardous waste you want to dispose of."
Headache pills,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/headache-pills,"headache pills, medicine","Medicines and tablets are classed as hazardous waste. Unopened, unused and out-of-date medicines can be returned to pharmacies for disposal. Opened medicines should go in your general waste (never flushed down the toilet). Inhalers are recyclable at participating pharmacies."
Hearing aids,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/hearing-aids,hearing aids,"Hearing aids can be collected for charity at some doctors surgeries, hospital audioloy departments, private hearing specialists or charity shops (e.g. Help the Aged and Age Concern). The hearing aids are repaired, refurbished and sent overseas for reuse in developing countries. Batteries for hearing aids are also wanted."
Hedge trimmers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/hedge-trimmers,hedge trimmers,"If you have a household electrical item that is in good condition, it could be sold or donated for reuse or to charity. If the items is not reusable, it can be taken to one of north London's reuse and recycling centres (RRC) or make use of your local council's bulky collection service. For more information visit our page about recycling electrical items or book a Clearabee home collection."
Household plants,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/household-plants,household plants,"If your local council provides a garden waste collection service where you live, these can be added to your garden waste bin. Please make sure you do not add plastic bags, soil, turf, stones, rubble, plant pots, painted/treated wood, animal faeces, animal litter, food waste, logs over 30cm in diameter or 2m in length, or any invasive species such as Japanese Knotweed."
Ibuprofen blister packs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/ibuprofen-blister-packs,ibuprofen blister packs,"Blister packs are made from plastic and aluminium, stuck together. They are not currently recyclable so should go in your general waste."
Ice cream tubs,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/ice-cream-tubs,ice cream tubs,These can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside. Remove film lids and any cardboard packaging but labels can be left on.
Inhalers,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/inhalers,inhalers,Inhalers can be recycled at participating pharmacies. For more information or to find your nearest pharmacy or visit Complete the cycle.
